Date,Open,High,Low,Close,Adj Close,Volume
2023-08-28,0.029621,0.030347,0.028174,0.029129,0.029129,103098
2023-08-29,0.029123,0.029905,0.026300,0.026762,0.026762,182173
2023-08-30,0.026773,0.027255,0.026202,0.027032,0.027032,142326
2023-08-31,0.027029,0.028515,0.026575,0.027541,0.027541,154488
2023-09-01,0.027545,0.032437,0.026614,0.032437,0.032437,419388
2023-09-02,0.032439,0.032777,0.029178,0.029192,0.029192,145222
2023-09-03,0.029189,0.030427,0.029169,0.030427,0.030427,70540
2023-09-04,0.030429,0.030618,0.027203,0.027446,0.027446,125724
2023-09-05,0.027453,0.027898,0.026155,0.026230,0.026230,131870
2023-09-06,0.026228,0.026302,0.025228,0.025476,0.025476,203474
2023-09-07,0.025474,0.026155,0.023801,0.024313,0.024313,201895
2023-09-08,0.024315,0.026895,0.024315,0.025886,0.025886,130992
2023-09-09,0.025883,0.025958,0.024323,0.025199,0.025199,113769
2023-09-10,0.025212,0.026748,0.024302,0.024974,0.024974,363072
2023-09-11,0.024974,0.024974,0.021182,0.021476,0.021476,245340
2023-09-12,0.021480,0.027240,0.021294,0.025187,0.025187,467348
2023-09-13,0.025186,0.028048,0.025186,0.027293,0.027293,227777
2023-09-14,0.027289,0.027335,0.025921,0.026577,0.026577,259560
2023-09-15,0.026596,0.029774,0.026481,0.027790,0.027790,499727
2023-09-16,0.027784,0.029895,0.027336,0.028250,0.028250,494565
2023-09-17,0.028246,0.029527,0.028027,0.029472,0.029472,149256
2023-09-18,0.029470,0.030825,0.029133,0.030825,0.030825,243766
2023-09-19,0.030815,0.033004,0.030477,0.033004,0.033004,316682
2023-09-20,0.033001,0.034474,0.032448,0.032732,0.032732,310086
2023-09-21,0.032723,0.032950,0.032125,0.032491,0.032491,164097
2023-09-22,0.032489,0.033148,0.032240,0.032573,0.032573,133964
2023-09-23,0.032572,0.032811,0.029506,0.029681,0.029681,182576
2023-09-24,0.029674,0.029689,0.027735,0.028931,0.028931,177852
2023-09-25,0.028937,0.029152,0.027838,0.027942,0.027942,124424
2023-09-26,0.027940,0.028229,0.027174,0.027220,0.027220,139978
2023-09-27,0.027215,0.027278,0.026402,0.026444,0.026444,145171
2023-09-28,0.026441,0.028828,0.025338,0.028167,0.028167,208392
2023-09-29,0.028172,0.028467,0.025640,0.026101,0.026101,135600
2023-09-30,0.026097,0.027160,0.026044,0.026101,0.026101,124809
2023-10-01,0.026094,0.028900,0.025842,0.028879,0.028879,150395
2023-10-02,0.028879,0.029295,0.027729,0.027878,0.027878,192206
2023-10-03,0.027873,0.029112,0.027859,0.028684,0.028684,212257
2023-10-04,0.028681,0.028868,0.027877,0.028792,0.028792,211848
2023-10-05,0.028798,0.029127,0.028375,0.028621,0.028621,114395
2023-10-06,0.028621,0.029443,0.028479,0.028511,0.028511,130427
2023-10-07,0.028508,0.028561,0.027569,0.028411,0.028411,104711
2023-10-08,0.028416,0.028561,0.027128,0.027315,0.027315,121469
2023-10-09,0.027318,0.027490,0.025806,0.025806,0.025806,191859
2023-10-10,0.025807,0.027208,0.025807,0.026616,0.026616,139517
2023-10-11,0.026614,0.027505,0.025862,0.025923,0.025923,170610
2023-10-12,0.025921,0.026402,0.025150,0.025806,0.025806,122438
2023-10-13,0.025798,0.026443,0.025734,0.026370,0.026370,149524
2023-10-14,0.026373,0.026433,0.025188,0.025486,0.025486,140788
2023-10-15,0.025493,0.025524,0.025126,0.025326,0.025326,108135
2023-10-16,0.025329,0.025740,0.025061,0.025172,0.025172,158697
2023-10-17,0.025164,0.025297,0.024792,0.024903,0.024903,134704
2023-10-18,0.024901,0.025049,0.024828,0.024869,0.024869,91457
2023-10-19,0.024874,0.024926,0.023519,0.023604,0.023604,90983
2023-10-20,0.023594,0.025384,0.023159,0.025354,0.025354,117710
2023-10-21,0.025357,0.025595,0.024026,0.024027,0.024027,96365
2023-10-22,0.024027,0.024394,0.023731,0.024254,0.024254,124722
2023-10-23,0.024215,0.024961,0.024187,0.024921,0.024921,116464
2023-10-24,0.024915,0.027227,0.024204,0.024512,0.024512,339332
2023-10-25,0.024517,0.025223,0.022927,0.023096,0.023096,295015
2023-10-26,0.023097,0.025899,0.023071,0.024395,0.024395,268434
2023-10-27,0.024397,0.024889,0.023421,0.024680,0.024680,246986
2023-10-28,0.024680,0.025806,0.024503,0.025721,0.025721,143650
2023-10-29,0.025720,0.027763,0.025608,0.027634,0.027634,156672
2023-10-30,0.027641,0.027641,0.026640,0.026763,0.026763,137986
2023-10-31,0.026758,0.029778,0.026328,0.029651,0.029651,298593
2023-11-01,0.029655,0.030685,0.028989,0.030593,0.030593,242829
2023-11-02,0.030591,0.031375,0.030143,0.031113,0.031113,142876
2023-11-03,0.031107,0.031154,0.029565,0.029788,0.029788,181419
2023-11-04,0.029788,0.030862,0.029762,0.030171,0.030171,146490
2023-11-05,0.030170,0.038701,0.030161,0.034502,0.034502,634060
2023-11-06,0.034506,0.037128,0.030946,0.037087,0.037087,637648
2023-11-07,0.037088,0.039496,0.033676,0.035764,0.035764,883567
2023-11-08,0.035763,0.037147,0.034917,0.036249,0.036249,576716
2023-11-09,0.036256,0.036836,0.034911,0.036422,0.036422,556186
2023-11-10,0.036420,0.038544,0.036059,0.038492,0.038492,677109
2023-11-11,0.038487,0.044664,0.038369,0.044347,0.044347,786628
2023-11-12,0.044351,0.058118,0.044135,0.056490,0.056490,2137225
2023-11-13,0.056491,0.056856,0.049442,0.054674,0.054674,1319826
2023-11-14,0.054668,0.054712,0.045555,0.046934,0.046934,1188868
2023-11-15,0.046933,0.066868,0.046918,0.066344,0.066344,1335145
2023-11-16,0.066348,0.070102,0.063758,0.064671,0.064671,1810555
2023-11-17,0.064673,0.066536,0.056955,0.058487,0.058487,1944223
